idx,year,speaker,label,score,sentiment_numeric
0,1993,Alfred Broaddus,dovish,0.14407826463381448,-0.14407826463381448
1,1995,Alan Blinder,neutral,1.0,0.0
2,1995,Alan Blinder,neutral,1.0,0.0
3,1995,Alan Blinder,neutral,1.0,0.0
4,1995,Alan Blinder,neutral,1.0,0.0
5,1995,Alan Blinder,neutral,1.0,0.0
6,1995,Alan Blinder,dovish,0.20579270521799722,-0.20579270521799722
7,1995,Alan Blinder,neutral,1.0,0.0
8,1995,Alan Blinder,neutral,1.0,0.0
9,1995,Alfred Broaddus,hawkish,0.11665184299151103,0.11665184299151103
10,1995,Robert Forrestal,dovish,0.5299727221330007,-0.5299727221330007
11,1995,Robert Forrestal,dovish,0.32603637377421063,-0.32603637377421063
12,1995,Robert Forrestal,neutral,1.0,0.0
13,1995,Alan Greenspan,neutral,1.0,0.0
14,1995,Alan Greenspan,dovish,0.16457306345303854,-0.16457306345303854
15,1995,Alan Greenspan,neutral,1.0,0.0
16,1995,Alan Greenspan,dovish,0.3388193945089976,-0.3388193945089976
17,1995,Alan Greenspan,dovish,0.23591582973798117,-0.23591582973798117
18,1995,Alan Greenspan,dovish,0.2908540864785512,-0.2908540864785512
19,1995,Alan Greenspan,neutral,1.0,0.0
20,1995,Alan Greenspan,neutral,1.0,0.0
21,1995,Alan Greenspan,neutral,1.0,0.0
22,1995,Alan Greenspan,dovish,0.4856872657934825,-0.4856872657934825
23,1995,Alan Greenspan,dovish,0.480942169825236,-0.480942169825236
24,1995,Alan Greenspan,neutral,1.0,0.0
25,1995,Alan Greenspan,neutral,1.0,0.0
26,1995,Alan Greenspan,neutral,1.0,0.0
27,1995,Alan Greenspan,dovish,0.14730490247408548,-0.14730490247408548
28,1995,Alan Greenspan,neutral,1.0,0.0
29,1995,Alan Greenspan,neutral,1.0,0.0
30,1995,Alan Greenspan,dovish,0.16920004288355509,-0.16920004288355509
31,1995,Alan Greenspan,dovish,0.5399048626422882,-0.5399048626422882
32,1995,Alan Greenspan,dovish,0.17331143220265707,-0.17331143220265707
33,1995,Alan Greenspan,dovish,0.1345676382382711,-0.1345676382382711
34,1995,Alan Greenspan,dovish,0.1637782653172811,-0.1637782653172811
35,1995,Alan Greenspan,neutral,1.0,0.0
36,1995,Alan Greenspan,dovish,0.515426347653071,-0.515426347653071
37,1995,Alan Greenspan,neutral,1.0,0.0
38,1995,Alan Greenspan,neutral,0.996843417485555,0.0
39,1995,Alan Greenspan,dovish,0.505975733200709,-0.505975733200709
40,1995,Alan Greenspan,neutral,1.0,0.0
41,1995,Alan Greenspan,neutral,1.0,0.0
42,1995,Alan Greenspan,neutral,1.0,0.0
43,1995,Alan Greenspan,neutral,1.0,0.0
44,1995,Alan Greenspan,neutral,1.0,0.0
45,1995,Alan Greenspan,neutral,1.0,0.0
46,1995,Jerry Jordan,neutral,1.0,0.0
47,1995,Jerry Jordan,neutral,1.0,0.0
48,1995,Jerry Jordan,hawkish,0.33887994289398193,0.33887994289398193
49,1995,Jerry Jordan,neutral,0.9356454610824585,0.0
50,1995,Jerry Jordan,neutral,1.0,0.0
51,1995,Jerry Jordan,neutral,1.0,0.0
52,1995,Jerry Jordan,dovish,0.1501773198445638,-0.1501773198445638
53,1995,Jerry Jordan,neutral,1.0,0.0
54,1995,Jerry Jordan,neutral,1.0,0.0
55,1995,Jerry Jordan,neutral,1.0,0.0
56,1995,Edward Kelley,neutral,1.0,0.0
57,1995,Edward Kelley,neutral,1.0,0.0
58,1995,Edward Kelley,neutral,1.0,0.0
59,1995,Edward Kelley,neutral,1.0,0.0
60,1995,Edward Kelley,neutral,1.0,0.0
61,1995,Edward Kelley,neutral,1.0,0.0
62,1995,John LaWare,neutral,1.0,0.0
63,1995,Lawrence Lindsey,dovish,0.14050951600074768,-0.14050951600074768
64,1995,Lawrence Lindsey,neutral,1.0,0.0
65,1995,Lawrence Lindsey,neutral,1.0,0.0
66,1995,Lawrence Lindsey,neutral,1.0,0.0
67,1995,Lawrence Lindsey,dovish,0.15182502071062723,-0.15182502071062723
68,1995,Lawrence Lindsey,hawkish,0.14878239234288534,0.14878239234288534
69,1995,Lawrence Lindsey,neutral,0.9873632589975992,0.0
70,1995,Lawrence Lindsey,neutral,1.0,0.0
71,1995,Lawrence Lindsey,dovish,0.3239197830359141,-0.3239197830359141
72,1995,Thomas Melzer,neutral,1.0,0.0
73,1995,Thomas Melzer,hawkish,0.1367302934328715,0.1367302934328715
74,1995,Thomas Melzer,dovish,0.10386188824971516,-0.10386188824971516
75,1995,Thomas Melzer,neutral,1.0,0.0
76,1995,Thomas Melzer,neutral,1.0,0.0
77,1995,Thomas Melzer,neutral,1.0,0.0
78,1995,Thomas Melzer,dovish,0.1519758105278015,-0.1519758105278015
79,1995,Thomas Melzer,neutral,0.9987727403640747,0.0
80,1995,Janet Yellen,neutral,1.0,0.0
81,1996,Alan Blinder,neutral,1.0,0.0
82,1996,Alfred Broaddus,dovish,0.14795311292012533,-0.14795311292012533
83,1996,Paul Connolly,neutral,1.0,0.0
84,1996,Paul Connolly,neutral,1.0,0.0
85,1996,Paul Connolly,neutral,1.0,0.0
86,1996,Paul Connolly,neutral,1.0,0.0
87,1996,Richard Fisher,neutral,1.0,0.0
88,1996,Alan Greenspan,neutral,1.0,0.0
89,1996,Alan Greenspan,dovish,0.16745070616404215,-0.16745070616404215
90,1996,Alan Greenspan,dovish,0.5133439004421234,-0.5133439004421234
91,1996,Alan Greenspan,neutral,1.0,0.0
92,1996,Alan Greenspan,neutral,1.0,0.0
93,1996,Alan Greenspan,dovish,0.16701974471410116,-0.16701974471410116
94,1996,Alan Greenspan,neutral,1.0,0.0
95,1996,Alan Greenspan,neutral,1.0,0.0
96,1996,Alan Greenspan,dovish,0.17477935552597046,-0.17477935552597046
97,1996,Alan Greenspan,dovish,0.5261475741863251,-0.5261475741863251
98,1996,Alan Greenspan,neutral,1.0,0.0
99,1996,Alan Greenspan,neutral,1.0,0.0
100,1996,Alan Greenspan,neutral,1.0,0.0
101,1996,Alan Greenspan,neutral,1.0,0.0
102,1996,Alan Greenspan,neutral,1.0,0.0
103,1996,Alan Greenspan,neutral,1.0,0.0
104,1996,Alan Greenspan,neutral,1.0,0.0
105,1996,Alan Greenspan,neutral,1.0,0.0
106,1996,Alan Greenspan,neutral,1.0,0.0
107,1996,Alan Greenspan,neutral,1.0,0.0
108,1996,Alan Greenspan,dovish,0.15160084764162698,-0.15160084764162698
109,1996,Jack Guynn,neutral,1.0,0.0
110,1996,Jack Guynn,dovish,0.3013981580734253,-0.3013981580734253
111,1996,Jack Guynn,neutral,1.0,0.0
112,1996,Jack Guynn,neutral,1.0,0.0
113,1996,Jack Guynn,neutral,1.0,0.0
114,1996,Thomas Hoenig,neutral,1.0,0.0
115,1996,Thomas Hoenig,neutral,1.0,0.0
116,1996,Thomas Hoenig,dovish,0.41067415475845337,-0.41067415475845337
117,1996,Thomas Hoenig,neutral,1.0,0.0
118,1996,Jerry Jordan,dovish,0.16111122568448386,-0.16111122568448386
119,1996,Jerry Jordan,neutral,1.0,0.0
120,1996,Jerry Jordan,neutral,1.0,0.0
121,1996,Jerry Jordan,neutral,1.0,0.0
122,1996,Jerry Jordan,neutral,1.0,0.0
123,1996,Jerry Jordan,neutral,1.0,0.0
124,1996,Jerry Jordan,neutral,1.0,0.0
125,1996,Jerry Jordan,neutral,1.0,0.0
126,1996,Jerry Jordan,neutral,1.0,0.0
127,1996,Jerry Jordan,neutral,1.0,0.0
128,1996,Edward Kelley,neutral,1.0,0.0
129,1996,Edward Kelley,neutral,1.0,0.0
130,1996,Edward Kelley,neutral,1.0,0.0
131,1996,Edward Kelley,neutral,1.0,0.0
132,1996,Edward Kelley,neutral,1.0,0.0
133,1996,Edward Kelley,neutral,1.0,0.0
134,1996,Edward Kelley,neutral,1.0,0.0
135,1996,Edward Kelley,neutral,1.0,0.0
136,1996,Lawrence Lindsey,dovish,0.1485729217529297,-0.1485729217529297
137,1996,Lawrence Lindsey,neutral,1.0,0.0
138,1996,Lawrence Lindsey,neutral,1.0,0.0
139,1996,Lawrence Lindsey,dovish,0.15103504061698914,-0.15103504061698914
140,1996,Lawrence Lindsey,neutral,1.0,0.0
141,1996,Lawrence Lindsey,neutral,1.0,0.0
142,1996,Lawrence Lindsey,dovish,0.1487646202246348,-0.1487646202246348
143,1996,Lawrence Lindsey,neutral,1.0,0.0
144,1996,William McDonough,dovish,0.3040647506713867,-0.3040647506713867
145,1996,William McDonough,neutral,1.0,0.0
146,1996,William McDonough,dovish,0.3371990919113159,-0.3371990919113159
147,1996,William McDonough,dovish,0.13389567534128824,-0.13389567534128824
148,1996,William McDonough,neutral,1.0,0.0
149,1996,William McDonough,neutral,1.0,0.0
150,1996,William McDonough,dovish,0.16634399692217508,-0.16634399692217508
151,1996,William McDonough,dovish,0.15309085448582968,-0.15309085448582968
152,1996,William McDonough,neutral,1.0,0.0
153,1996,William McDonough,neutral,1.0,0.0
154,1996,William McDonough,dovish,0.19618727763493857,-0.19618727763493857
155,1996,William McDonough,dovish,0.17074779669443765,-0.17074779669443765
156,1996,William McDonough,dovish,0.18143715461095175,-0.18143715461095175
157,1996,Thomas Melzer,hawkish,0.4467514455318451,0.4467514455318451
158,1996,Thomas Melzer,neutral,0.9843530356884003,0.0
159,1996,Thomas Melzer,neutral,1.0,0.0
160,1996,Thomas Melzer,neutral,1.0,0.0
161,1996,Thomas Melzer,neutral,0.9682941734790802,0.0
162,1996,Thomas Melzer,neutral,0.8168075084686279,0.0
163,1996,Thomas Melzer,neutral,0.9760226905345917,0.0
164,1996,Thomas Melzer,neutral,1.0,0.0
165,1996,Thomas Melzer,dovish,0.13476282358169556,-0.13476282358169556
166,1996,Thomas Melzer,hawkish,0.25849979122479755,0.25849979122479755
167,1996,Laurence Meyer,dovish,0.3213291068871816,-0.3213291068871816
168,1996,Laurence Meyer,neutral,1.0,0.0
169,1996,Patrikis,neutral,1.0,0.0
170,1996,Patrikis,neutral,1.0,0.0
171,1996,Patrikis,neutral,1.0,0.0
172,1996,Patrikis,neutral,1.0,0.0
173,1996,Patrikis,neutral,1.0,0.0
174,1996,Patrikis,neutral,1.0,0.0
175,1996,Patrikis,neutral,1.0,0.0
176,1996,Alice Rivlin,neutral,1.0,0.0
177,1996,Janet Yellen,neutral,1.0,0.0
178,1996,Janet Yellen,neutral,1.0,0.0
179,1996,Janet Yellen,neutral,1.0,0.0
180,1996,Janet Yellen,dovish,0.47629789511362713,-0.47629789511362713
181,1997,Edward Boehne,neutral,1.0,0.0
182,1997,Alfred Broaddus,neutral,1.0,0.0
183,1997,Alfred Broaddus,neutral,1.0,0.0
184,1997,Alfred Broaddus,dovish,0.3237590193748474,-0.3237590193748474
185,1997,Alfred Broaddus,hawkish,0.13678284486134848,0.13678284486134848
186,1997,Alfred Broaddus,neutral,1.0,0.0
187,1997,Richard Fisher,neutral,1.0,0.0
188,1997,Richard Fisher,dovish,0.11314883828163147,-0.11314883828163147
189,1997,Alan Greenspan,neutral,1.0,0.0
190,1997,Alan Greenspan,neutral,1.0,0.0
191,1997,Alan Greenspan,neutral,1.0,0.0
192,1997,Alan Greenspan,neutral,1.0,0.0
193,1997,Alan Greenspan,neutral,1.0,0.0
194,1997,Alan Greenspan,neutral,1.0,0.0
195,1997,Alan Greenspan,neutral,1.0,0.0
196,1997,Alan Greenspan,neutral,1.0,0.0
197,1997,Alan Greenspan,neutral,0.9768144488334656,0.0
198,1997,Alan Greenspan,neutral,1.0,0.0
199,1997,Alan Greenspan,dovish,0.13379589716593424,-0.13379589716593424
200,1997,Alan Greenspan,dovish,0.15211710333824158,-0.15211710333824158
201,1997,Alan Greenspan,neutral,1.0,0.0
202,1997,Alan Greenspan,neutral,1.0,0.0
203,1997,Alan Greenspan,neutral,1.0,0.0
204,1997,Alan Greenspan,neutral,1.0,0.0
205,1997,Alan Greenspan,neutral,1.0,0.0
206,1997,Jack Guynn,dovish,0.1448913315931956,-0.1448913315931956
207,1997,Jack Guynn,neutral,1.0,0.0
208,1997,Jack Guynn,dovish,0.12542372941970825,-0.12542372941970825
209,1997,Jack Guynn,dovish,0.30470674236615497,-0.30470674236615497
210,1997,Jack Guynn,dovish,0.1198201874891917,-0.1198201874891917
211,1997,Jack Guynn,dovish,0.4739773670832316,-0.4739773670832316
212,1997,Jack Guynn,dovish,0.30627556641896564,-0.30627556641896564
213,1997,Jack Guynn,neutral,1.0,0.0
214,1997,Jack Guynn,dovish,0.2917846043904622,-0.2917846043904622
215,1997,Jack Guynn,dovish,0.16083574295043945,-0.16083574295043945
216,1997,Thomas Hoenig,dovish,0.21705388029416403,-0.21705388029416403
217,1997,Jerry Jordan,neutral,1.0,0.0
218,1997,Jerry Jordan,neutral,1.0,0.0
219,1997,Jerry Jordan,dovish,0.14054453372955322,-0.14054453372955322
220,1997,Jerry Jordan,neutral,1.0,0.0
221,1997,Jerry Jordan,neutral,1.0,0.0
222,1997,Jerry Jordan,neutral,1.0,0.0
223,1997,Jerry Jordan,dovish,0.13976373275121054,-0.13976373275121054
224,1997,Edward Kelley,neutral,1.0,0.0
225,1997,Edward Kelley,neutral,1.0,0.0
226,1997,Edward Kelley,neutral,1.0,0.0
227,1997,Edward Kelley,neutral,1.0,0.0
228,1997,Edward Kelley,neutral,1.0,0.0
229,1997,William McDonough,neutral,1.0,0.0
230,1997,William McDonough,neutral,1.0,0.0
231,1997,William McDonough,hawkish,0.3154372175534566,0.3154372175534566
232,1997,William McDonough,neutral,1.0,0.0
233,1997,William McDonough,neutral,1.0,0.0
234,1997,William McDonough,neutral,1.0,0.0
235,1997,William McDonough,neutral,1.0,0.0
236,1997,William McDonough,neutral,1.0,0.0
237,1997,Thomas Melzer,neutral,1.0,0.0
238,1997,Thomas Melzer,hawkish,0.15594359238942465,0.15594359238942465
239,1997,Thomas Melzer,dovish,0.13354963064193726,-0.13354963064193726
240,1997,Thomas Melzer,dovish,0.10004032651583354,-0.10004032651583354
241,1997,Thomas Melzer,hawkish,0.17715981602668762,0.17715981602668762
242,1997,Thomas Melzer,hawkish,0.44183139006296795,0.44183139006296795
243,1997,Laurence Meyer,neutral,1.0,0.0
244,1997,Laurence Meyer,dovish,0.21907987197240195,-0.21907987197240195
245,1997,Laurence Meyer,neutral,1.0,0.0
246,1997,Laurence Meyer,neutral,1.0,0.0
247,1997,Laurence Meyer,neutral,0.9726284344991049,0.0
248,1997,Laurence Meyer,neutral,1.0,0.0
249,1997,Laurence Meyer,neutral,1.0,0.0
250,1997,Laurence Meyer,neutral,1.0,0.0
251,1997,Laurence Meyer,hawkish,0.31085670987764996,0.31085670987764996
252,1997,Laurence Meyer,dovish,0.19114593664805093,-0.19114593664805093
253,1997,Laurence Meyer,neutral,1.0,0.0
254,1997,Laurence Meyer,hawkish,0.13458534081776938,0.13458534081776938
255,1997,Laurence Meyer,neutral,1.0,0.0
256,1997,Laurence Meyer,dovish,0.13630356391270956,-0.13630356391270956
257,1997,Laurence Meyer,neutral,1.0,0.0
258,1997,Laurence Meyer,neutral,1.0,0.0
259,1997,Cathy Minehan,dovish,0.32603172461191815,-0.32603172461191815
260,1997,Robert Parry,neutral,1.0,0.0
261,1997,Patrikis,neutral,1.0,0.0
262,1997,Patrikis,neutral,1.0,0.0
263,1997,Patrikis,neutral,1.0,0.0
264,1997,Alice Rivlin,neutral,1.0,0.0
265,1997,Alice Rivlin,neutral,1.0,0.0
266,1997,Gary Stern,dovish,0.3348451455434163,-0.3348451455434163
267,1997,Gary Stern,neutral,1.0,0.0
268,1997,Gary Stern,neutral,1.0,0.0
269,1998,Edward Boehne,dovish,0.5619210700194041,-0.5619210700194041
270,1998,Edward Boehne,dovish,0.554693470398585,-0.554693470398585
271,1998,Edward Boehne,dovish,0.3359210789203644,-0.3359210789203644
272,1998,Alfred Broaddus,dovish,0.15141023198763529,-0.15141023198763529
273,1998,Roger Ferguson,neutral,0.9389459292093912,0.0
274,1998,Roger Ferguson,neutral,1.0,0.0
275,1998,Roger Ferguson,neutral,1.0,0.0
276,1998,Roger Ferguson,dovish,0.16369172930717468,-0.16369172930717468
277,1998,Roger Ferguson,hawkish,0.1759827733039856,0.1759827733039856
278,1998,Roger Ferguson,neutral,1.0,0.0
279,1998,Roger Ferguson,neutral,1.0,0.0
280,1998,Roger Ferguson,neutral,1.0,0.0
281,1998,Roger Ferguson,dovish,0.3430747389793396,-0.3430747389793396
282,1998,Roger Ferguson,neutral,1.0,0.0
283,1998,Roger Ferguson,dovish,0.18457992871602377,-0.18457992871602377
284,1998,Roger Ferguson,neutral,1.0,0.0
285,1998,Roger Ferguson,neutral,1.0,0.0
286,1998,Roger Ferguson,neutral,1.0,0.0
287,1998,Richard Fisher,neutral,1.0,0.0
288,1998,Goldberg,neutral,1.0,0.0
289,1998,Alan Greenspan,neutral,1.0,0.0
290,1998,Alan Greenspan,neutral,1.0,0.0
291,1998,Alan Greenspan,neutral,1.0,0.0
292,1998,Alan Greenspan,neutral,1.0,0.0
293,1998,Alan Greenspan,neutral,1.0,0.0
294,1998,Alan Greenspan,neutral,0.9909675618012747,0.0
295,1998,Alan Greenspan,neutral,1.0,0.0
296,1998,Alan Greenspan,neutral,1.0,0.0
297,1998,Alan Greenspan,dovish,0.17154580354690552,-0.17154580354690552
298,1998,Alan Greenspan,neutral,1.0,0.0
299,1998,Alan Greenspan,neutral,1.0,0.0
300,1998,Alan Greenspan,dovish,0.4583347241083781,-0.4583347241083781
301,1998,Alan Greenspan,dovish,0.14768017331759134,-0.14768017331759134
302,1998,Jack Guynn,dovish,0.17102563381195068,-0.17102563381195068
303,1998,Jack Guynn,dovish,0.32736799120903015,-0.32736799120903015
304,1998,Jack Guynn,neutral,1.0,0.0
305,1998,Jack Guynn,neutral,1.0,0.0
306,1998,Jack Guynn,neutral,1.0,0.0
307,1998,Jack Guynn,dovish,0.14098129669825235,-0.14098129669825235
308,1998,Jack Guynn,neutral,1.0,0.0
309,1998,Jack Guynn,neutral,1.0,0.0
310,1998,Thomas Hoenig,dovish,0.4688500066598256,-0.4688500066598256
311,1998,Thomas Hoenig,neutral,1.0,0.0
312,1998,Thomas Hoenig,dovish,0.2560773491859436,-0.2560773491859436
313,1998,Thomas Hoenig,dovish,0.13054820895195007,-0.13054820895195007
314,1998,Jerry Jordan,neutral,1.0,0.0
315,1998,Jerry Jordan,neutral,1.0,0.0
316,1998,Jerry Jordan,neutral,1.0,0.0
317,1998,Jerry Jordan,neutral,1.0,0.0
318,1998,Edward Kelley,neutral,1.0,0.0
319,1998,Edward Kelley,neutral,1.0,0.0
320,1998,Edward Kelley,neutral,1.0,0.0
321,1998,Edward Kelley,neutral,1.0,0.0
322,1998,William McDonough,neutral,1.0,0.0
323,1998,William McDonough,neutral,1.0,0.0
324,1998,William McDonough,neutral,1.0,0.0
325,1998,William McDonough,neutral,1.0,0.0
326,1998,William McDonough,dovish,0.14086382587750754,-0.14086382587750754
327,1998,William McDonough,dovish,0.16936775048573813,-0.16936775048573813
328,1998,William McDonough,neutral,1.0,0.0
329,1998,William McDonough,hawkish,0.13067218661308289,0.13067218661308289
330,1998,William McDonough,neutral,1.0,0.0
331,1998,William McDonough,neutral,1.0,0.0
332,1998,William McDonough,neutral,1.0,0.0
333,1998,William McDonough,neutral,1.0,0.0
334,1998,Robert McTeer,neutral,1.0,0.0
335,1998,Robert McTeer,dovish,0.3561029036839803,-0.3561029036839803
336,1998,Robert McTeer,neutral,1.0,0.0
337,1998,Thomas Melzer,hawkish,0.16581336657206217,0.16581336657206217
338,1998,Laurence Meyer,dovish,0.285893847544988,-0.285893847544988
339,1998,Laurence Meyer,neutral,1.0,0.0
340,1998,Laurence Meyer,dovish,0.1397880514462789,-0.1397880514462789
341,1998,Laurence Meyer,neutral,1.0,0.0
342,1998,Laurence Meyer,neutral,1.0,0.0
343,1998,Laurence Meyer,neutral,1.0,0.0
344,1998,Laurence Meyer,dovish,0.5249835749467214,-0.5249835749467214
345,1998,Laurence Meyer,neutral,1.0,0.0
346,1998,Laurence Meyer,neutral,1.0,0.0
347,1998,Laurence Meyer,dovish,0.2252460519472758,-0.2252460519472758
348,1998,Laurence Meyer,neutral,1.0,0.0
349,1998,Laurence Meyer,neutral,1.0,0.0
350,1998,Laurence Meyer,neutral,1.0,0.0
351,1998,Laurence Meyer,neutral,1.0,0.0
352,1998,Laurence Meyer,dovish,0.15415712197621664,-0.15415712197621664
353,1998,Laurence Meyer,neutral,1.0,0.0
354,1998,Laurence Meyer,neutral,1.0,0.0
355,1998,Cathy Minehan,neutral,1.0,0.0
356,1998,Cathy Minehan,neutral,1.0,0.0
357,1998,Cathy Minehan,neutral,1.0,0.0
358,1998,Cathy Minehan,neutral,1.0,0.0
359,1998,Cathy Minehan,neutral,1.0,0.0
360,1998,Cathy Minehan,neutral,1.0,0.0
361,1998,Cathy Minehan,dovish,0.3419589300950368,-0.3419589300950368
362,1998,Robert Parry,dovish,0.17371511459350586,-0.17371511459350586
363,1998,Robert Parry,dovish,0.15434789657592773,-0.15434789657592773
364,1998,Robert Parry,dovish,0.1517159640789032,-0.1517159640789032
365,1998,Robert Parry,dovish,0.5724169611930847,-0.5724169611930847
366,1998,Robert Parry,neutral,1.0,0.0
367,1998,Robert Parry,dovish,0.17398413022359213,-0.17398413022359213
368,1998,Robert Parry,dovish,0.5551244616508484,-0.5551244616508484
369,1998,Robert Parry,dovish,0.5980059107144674,-0.5980059107144674
370,1998,Robert Parry,dovish,0.30974283814430237,-0.30974283814430237
371,1998,Robert Parry,dovish,0.5362000465393066,-0.5362000465393066
372,1998,Patrikis,neutral,1.0,0.0
373,1998,Patrikis,neutral,1.0,0.0
374,1998,Patrikis,neutral,1.0,0.0
375,1998,William Poole,neutral,1.0,0.0
376,1998,William Poole,neutral,1.0,0.0
377,1998,William Poole,neutral,0.9823157091935476,0.0
378,1998,William Poole,dovish,0.15339184800783792,-0.15339184800783792
379,1998,William Poole,neutral,1.0,0.0
380,1998,Alice Rivlin,neutral,1.0,0.0
381,1998,Alice Rivlin,neutral,1.0,0.0
382,1998,Alice Rivlin,neutral,1.0,0.0
383,1998,Alice Rivlin,neutral,1.0,0.0
384,1998,Alice Rivlin,neutral,1.0,0.0
385,1998,Alice Rivlin,dovish,0.14887215693791708,-0.14887215693791708
386,1998,Alice Rivlin,neutral,1.0,0.0
387,1998,Alice Rivlin,dovish,0.15801731745402017,-0.15801731745402017
388,1998,Gary Stern,dovish,0.30567704637845355,-0.30567704637845355
389,1998,Gary Stern,dovish,0.16811013221740723,-0.16811013221740723
390,1998,Gary Stern,neutral,1.0,0.0
391,1999,Edward Boehne,neutral,0.9538311858971914,0.0
392,1999,Edward Boehne,dovish,0.5372289419174194,-0.5372289419174194
393,1999,Edward Boehne,neutral,0.9309955537319183,0.0
394,1999,Edward Boehne,dovish,0.19398518403371176,-0.19398518403371176
395,1999,Edward Boehne,hawkish,0.152107705672582,0.152107705672582
396,1999,Alfred Broaddus,dovish,0.16004621982574463,-0.16004621982574463
397,1999,Alfred Broaddus,hawkish,0.14992494384447733,0.14992494384447733
398,1999,Roger Ferguson,dovish,0.16832015911738077,-0.16832015911738077
399,1999,Roger Ferguson,neutral,1.0,0.0
400,1999,Roger Ferguson,neutral,1.0,0.0
401,1999,Roger Ferguson,dovish,0.3111583391825358,-0.3111583391825358
402,1999,Roger Ferguson,neutral,1.0,0.0
403,1999,Roger Ferguson,neutral,1.0,0.0
404,1999,Roger Ferguson,neutral,1.0,0.0
405,1999,Roger Ferguson,neutral,1.0,0.0
406,1999,Roger Ferguson,neutral,1.0,0.0
407,1999,Roger Ferguson,neutral,1.0,0.0
408,1999,Roger Ferguson,neutral,1.0,0.0
409,1999,Roger Ferguson,neutral,1.0,0.0
410,1999,Roger Ferguson,dovish,0.13390897711118063,-0.13390897711118063
411,1999,Roger Ferguson,neutral,1.0,0.0
412,1999,Roger Ferguson,dovish,0.1418165663878123,-0.1418165663878123
413,1999,Roger Ferguson,neutral,1.0,0.0
414,1999,Richard Fisher,dovish,0.14897785584131876,-0.14897785584131876
415,1999,Gramlich,dovish,0.28284382820129395,-0.28284382820129395
416,1999,Alan Greenspan,neutral,1.0,0.0
417,1999,Alan Greenspan,dovish,0.1782773733139038,-0.1782773733139038
418,1999,Alan Greenspan,neutral,1.0,0.0
419,1999,Alan Greenspan,dovish,0.1814120610555013,-0.1814120610555013
420,1999,Alan Greenspan,neutral,1.0,0.0
421,1999,Alan Greenspan,dovish,0.16764267285664877,-0.16764267285664877
422,1999,Alan Greenspan,neutral,1.0,0.0
423,1999,Alan Greenspan,dovish,0.34697746237119037,-0.34697746237119037
424,1999,Alan Greenspan,neutral,1.0,0.0
425,1999,Alan Greenspan,dovish,0.16589891910552979,-0.16589891910552979
426,1999,Alan Greenspan,neutral,1.0,0.0
427,1999,Alan Greenspan,neutral,1.0,0.0
428,1999,Alan Greenspan,neutral,1.0,0.0
429,1999,Alan Greenspan,neutral,1.0,0.0
430,1999,Alan Greenspan,dovish,0.16947503884633383,-0.16947503884633383
431,1999,Alan Greenspan,neutral,1.0,0.0
432,1999,Alan Greenspan,neutral,1.0,0.0
433,1999,Alan Greenspan,neutral,1.0,0.0
434,1999,Alan Greenspan,dovish,0.16116801897684732,-0.16116801897684732
435,1999,Alan Greenspan,dovish,0.1578718920548757,-0.1578718920548757
436,1999,Alan Greenspan,dovish,0.17320473988850912,-0.17320473988850912
437,1999,Alan Greenspan,neutral,1.0,0.0
438,1999,Jack Guynn,dovish,0.29656129082043964,-0.29656129082043964
439,1999,Jack Guynn,hawkish,0.15291701753934225,0.15291701753934225
440,1999,Jack Guynn,neutral,1.0,0.0
441,1999,Jack Guynn,dovish,0.10564890503883362,-0.10564890503883362
442,1999,Jack Guynn,neutral,1.0,0.0
443,1999,Jack Guynn,neutral,1.0,0.0
444,1999,Jack Guynn,neutral,1.0,0.0
445,1999,Thomas Hoenig,neutral,1.0,0.0
446,1999,Jerry Jordan,neutral,1.0,0.0
447,1999,Jerry Jordan,neutral,1.0,0.0
448,1999,Jerry Jordan,neutral,1.0,0.0
449,1999,Jerry Jordan,neutral,1.0,0.0
