id,speaker,date,year,dominant_topic,dominant_topic_prob
594,Alan Blinder,09mar1995,1995,7,0.3871197197690087
595,Alan Blinder,21mar1995,1995,3,0.3848910081201877
600,Alan Blinder,18sep1995,1995,7,0.3970948969857251
601,Alan Blinder,11oct1995,1995,6,0.6681365660073688
2956,Alan Greenspan,05jan1995,1995,6,0.5883373008979512
2957,Alan Greenspan,10jan1995,1995,3,0.6371166348641981
2958,Alan Greenspan,28jan1995,1995,7,0.5684403142987074
2960,Alan Greenspan,15feb1995,1995,3,0.5161563304151743
2963,Alan Greenspan,28feb1995,1995,6,0.8333646743665716
2964,Alan Greenspan,03mar1995,1995,6,0.3849935270779451
2967,Alan Greenspan,13mar1995,1995,3,0.7128399039730563
2968,Alan Greenspan,11apr1995,1995,3,0.5075685145110861
2969,Alan Greenspan,11may1995,1995,6,0.5886824062773547
2970,Alan Greenspan,16may1995,1995,7,0.5526167688369078
2971,Alan Greenspan,17may1995,1995,5,0.4685410877390768
2972,Alan Greenspan,06jun1995,1995,6,0.8372510452511195
2973,Alan Greenspan,20jun1995,1995,3,0.4727710882302072
2975,Alan Greenspan,28jul1995,1995,6,0.9672576290186669
2977,Alan Greenspan,02aug1995,1995,6,0.9010829249138986
2978,Alan Greenspan,21sep1995,1995,6,0.9551962773336594
2979,Alan Greenspan,22sep1995,1995,7,0.4795750681390839
2981,Alan Greenspan,19oct1995,1995,3,0.7861970955040143
2982,Alan Greenspan,02nov1995,1995,7,0.456991371138623
2983,Alan Greenspan,07nov1995,1995,3,0.4749437832344324
2984,Alan Greenspan,16nov1995,1995,8,0.3033359514006679
2985,Alan Greenspan,27nov1995,1995,8,0.5113078172473983
2986,Alan Greenspan,30nov1995,1995,8,0.5497755993311166
3982,Edward Kelley,13jul1995,1995,6,0.35806396054056344
3983,Edward Kelley,23aug1995,1995,8,0.5563289581857562
3984,Edward Kelley,16nov1995,1995,5,0.3046887297503895
4338,John LaWare,14feb1995,1995,6,0.5333773221894075
4531,Lawrence Lindsey,10jan1995,1995,7,0.5480502095454596
4533,Lawrence Lindsey,08mar1995,1995,5,0.6452798734094118
4537,Lawrence Lindsey,13sep1995,1995,7,0.3990437882641877
4538,Lawrence Lindsey,14sep1995,1995,5,0.40543001915099297
4539,Lawrence Lindsey,14dec1995,1995,7,0.7086932541966422
4882,Thomas Melzer,11jan1995,1995,3,0.5886705299117411
4883,Thomas Melzer,16feb1995,1995,2,0.26346661043564873
4884,Thomas Melzer,01mar1995,1995,3,0.5003126004153385
4885,Thomas Melzer,07mar1995,1995,5,0.6783384162881043
4886,Thomas Melzer,15mar1995,1995,10,0.4638092663615353
4887,Thomas Melzer,16oct1995,1995,2,0.5228275163803601
4888,Thomas Melzer,31oct1995,1995,10,0.32877909615047546
