id,speaker,date,year,fk_grade,fog_index,sentiment_score,hawkish_density,dovish_density,uncertainty_index
1009,Alfred Broaddus,02apr1993,1993,13.85,17.59,6.0,12.41,3.1,11.25
594,Alan Blinder,09mar1995,1995,10.85,14.12,-10.0,0.0,0.81,8.46
595,Alan Blinder,21mar1995,1995,13.63,17.24,-2.5,1.17,1.95,17.52
596,Alan Blinder,04may1995,1995,11.93,15.59,2.65,4.51,2.62,22.68
597,Alan Blinder,05may1995,1995,11.69,15.31,4.39,9.1,3.55,13.36
598,Alan Blinder,15jun1995,1995,9.78,13.47,6.86,10.16,1.89,11.34
599,Alan Blinder,14sep1995,1995,10.75,13.87,-3.33,0.27,0.55,13.65
600,Alan Blinder,18sep1995,1995,11.05,14.39,-10.0,0.0,0.77,8.89
601,Alan Blinder,11oct1995,1995,14.33,18.5,8.0,3.12,0.35,38.1
1010,Alfred Broaddus,16mar1995,1995,16.93,21.32,7.45,20.53,2.99,15.83
2759,Robert Forrestal,10aug1995,1995,11.24,14.94,-5.0,3.07,9.21,19.96
2760,Robert Forrestal,15sep1995,1995,12.27,15.47,2.63,4.2,2.45,19.58
2761,Robert Forrestal,23oct1995,1995,13.72,17.27,0.0,0.0,0.0,15.31
2956,Alan Greenspan,05jan1995,1995,20.81,25.26,3.33,1.18,0.59,28.34
2957,Alan Greenspan,10jan1995,1995,348.53,360.51,-2.0,1.14,1.71,33.54
2958,Alan Greenspan,28jan1995,1995,506.05,522.56,4.29,3.86,1.54,11.18
2959,Alan Greenspan,31jan1995,1995,247.81,258.32,3.85,3.61,1.6,13.63
2960,Alan Greenspan,15feb1995,1995,1110.43,1142.34,2.17,4.9,3.15,20.99
2961,Alan Greenspan,22feb1995,1995,638.79,658.88,2.96,7.12,3.86,20.34
2962,Alan Greenspan,23feb1995,1995,639.48,659.62,2.94,6.71,3.66,20.33
2963,Alan Greenspan,28feb1995,1995,1518.95,1562.11,0.0,1.04,1.04,21.56
2964,Alan Greenspan,03mar1995,1995,1275.82,1312.29,10.0,1.23,0.0,37.57
2965,Alan Greenspan,08mar1995,1995,723.57,745.68,0.4,6.99,6.45,26.88
2966,Alan Greenspan,10mar1995,1995,323.47,336.33,6.67,6.11,1.22,17.11
2967,Alan Greenspan,13mar1995,1995,873.67,899.67,4.29,2.22,0.89,21.75
2968,Alan Greenspan,11apr1995,1995,327.02,339.24,7.33,3.14,0.48,18.61
2969,Alan Greenspan,11may1995,1995,165.15,173.65,0.0,0.3,0.3,31.35
2970,Alan Greenspan,16may1995,1995,190.55,199.01,2.5,2.1,1.26,12.17
