,label,similarity,top_words
topic_1,Labor & Workers,0.0,"worker, people, education"
topic_2,Payment Systems,0.0,"payment, pandemic, service"
topic_3,Economic Output,0.0,"productivity, real, inflation"
topic_4,Inflation & Prices,0.0,"inflation, labor, monetary policy"
topic_5,Community Banking,0.0,"community, credit, loan"
topic_6,Financial Institutions,0.0,"institution, banking, government"
topic_7,Housing & Mortgages,0.0,"mortgage, housing, home"
topic_8,Capital & Regulation,0.0,"capital, firm, banking"
topic_9,Asset Markets,0.0,"asset, fund, security"
topic_10,Monetary Policy,0.0,"monetary policy, inflation, central"
