topic_id,n_dominant_speeches,avg_probability,top_words,all_top_words
0,212,0.045711284457837474,"banking, institution, regulation, company, regulatory, deposit, activity, holding, firm, insurance","banking, institution, regulation, company, regulatory, deposit, activity, holding, firm, insurance, holding company, requirement, rule, organization, safety, agency, regulator, supervision, authority, asset"
1,384,0.062125127378971266,"capital, management, supervisory, firm, banking, risk management, basel, supervisor, process, institution","capital, management, supervisory, firm, banking, risk management, basel, supervisor, process, institution, organization, approach, practice, stress, regulatory, standard, requirement, framework, supervision, information"
2,390,0.06742866757618333,"community, credit, loan, mortgage, housing, small, home, consumer, lending, household","community, credit, loan, mortgage, housing, small, home, consumer, lending, household, income, community bank, borrower, small business, development, lender, data, foreclosure, debt, local"
3,1034,0.15643890913489478,"worker, education, job, research, american, country, school, opportunity, college, student","worker, education, job, research, american, country, school, opportunity, college, student, community, program, public, better, labor, skill, district, pandemic, nation, life"
4,332,0.06931039020530748,"security, asset, treasury, balance, fund, sheet, balance sheet, credit, purchase, reserve","security, asset, treasury, balance, fund, sheet, balance sheet, credit, purchase, reserve, program, interest rate, liquidity, money, mortgage, facility, condition, short, loan, crisis"
5,417,0.0649018831951415,"payment, service, technology, check, payment system, consumer, innovation, industry, central, information","payment, service, technology, check, payment system, consumer, innovation, industry, central, information, transaction, central bank, customer, electronic, product, currency, role, settlement, sector, banking"
6,1050,0.16613358755513005,"inflation, monetary policy, expectation, interest rate, central, target, goal, central bank, stability, employment","inflation, monetary policy, expectation, interest rate, central, target, goal, central bank, stability, employment, objective, unemployment, fund rate, real, price stability, fund, inflation expectation, mandate, lower, longer"
7,1579,0.19711228274377995,"inflation, labor, spending, labor market, unemployment, employment, outlook, consumer, demand, recession","inflation, labor, spending, labor market, unemployment, employment, outlook, consumer, demand, recession, quarter, recovery, productivity, likely, pace, real, data, higher, condition, decline"
8,500,0.09231475405619655,"country, united, united state, capital, world, global, trade, investment, government, international","country, united, united state, capital, world, global, trade, investment, government, international, foreign, exchange, fiscal, debt, central, cost, domestic, effect, account, currency"
9,554,0.0785231136965576,"crisis, firm, institution, financial system, liquidity, stability, capital, financial stability, asset, credit","crisis, firm, institution, financial system, liquidity, stability, capital, financial stability, asset, credit, financial institution, financial crisis, stress, problem, financial market, funding, loss, sector, regulatory, systemic"
